sl_name,metasub_name,ha_name,barcode,plate_id,plate_position,city,elevation,latitude,longitude,project,setting,surface,surface_material,traffic_level
None,2_14_1,None,None,None,None,berlin,,,,csd16,,,,
None,2_16_2,None,None,None,None,berlin,,,,csd16,,,,
None,2_21_1,None,None,None,None,berlin,,,,csd16,,,,
None,2_21_3,None,None,None,None,berlin,,,,csd16,,,,
None,2_22_2,None,None,None,None,berlin,,,,csd16,,,,
None,2_27_1,None,None,None,None,berlin,,,,csd16,,,,
None,2_27_2,None,None,None,None,berlin,,,,csd16,,,,
None,2_28_3,None,None,None,None,berlin,,,,csd16,,,,
None,None,4959-DB-1249,235038330,inbound_13,c03,sao_paulo,above_ground_closed,-23.56503,-46.637638,,urban,ventilator,plastic,
None,None,4959-DB-1250,235060058,inbound_13,c04,sao_paulo,above_ground_closed,-23.56499,-46.637681,,urban,bench,metal,
None,None,4959-DB-1251,235038775,inbound_13,c05,sao_paulo,above_ground_closed,-23.565039,-46.637622,,urban,keyboard,plastic,
None,None,4959-DB-1252,235060070,inbound_13,c06,sao_paulo,above_ground_closed,-23.564951,-46.637681,,urban,infusion_pump,plastic,
None,None,4959-DB-1253,235060264,inbound_13,c07,sao_paulo,under_ground,-23.565285,-46.637692,,urban,telephone,other,
None,None,4959-DB-1254,235041201,inbound_13,c08,sao_paulo,above_ground_closed,-23.563391,-46.636617,,urban,shoe_soles,rubber,
None,None,4959-DB-1255,235040407,inbound_13,c09,sao_paulo,above_ground_closed,-23.563412,-46.636716,,urban,shoe_soles,rubber,
None,None,4959-DB-1256,235041648,inbound_13,c10,sao_paulo,above_ground_closed,-23.563282,-46.636691,,urban,shoe_soles,rubber,
None,None,4959-DB-1257,235041198,inbound_13,c11,sao_paulo,above_ground_closed,-23.563414,-46.636704,,urban,shoe_soles,rubber,
None,None,4959-DB-1258,235059999,inbound_13,c12,sao_paulo,above_ground_open,-23.561647,-46.65665,,urban,bench,wood,closing_hours
None,None,4959-DB-1259,235041498,inbound_13,d01,sao_paulo,above_ground_closed,-23.564961,-46.637665,,urban,glucometer,metal_plastic,
None,None,4959-DB-1260,235060042,inbound_13,d02,sao_paulo,above_ground_closed,-23.564961,-46.637665,,urban,keyboard,plastic,
None,None,4959-DB-1261,235041445,inbound_13,d03,sao_paulo,above_ground_closed,-23.564951,-46.637552,,urban,other,plastic,
None,None,4959-DB-1262,235060001,inbound_13,d04,sao_paulo,above_ground_closed,-23.564912,-46.637595,,urban,ventilator,plastic,
None,None,4959-DB-1263,235041160,inbound_13,d05,sao_paulo,above_ground_closed,-23.56499,-46.637681,,urban,glucometer,metal_plastic,
None,None,4959-DB-1264,235039239,inbound_13,d06,sao_paulo,under_ground,-23.565403,-46.637671,,urban,table,metal,
None,None,4959-DB-1265,235060194,inbound_13,d07,sao_paulo,under_ground,-23.564971,-46.637521,,urban,other,other,
None,None,4959-DB-1266,235041549,inbound_13,d08,sao_paulo,above_ground_closed,-23.563625,-46.636457,,urban,shoe_soles,rubber,
None,None,4959-DB-1267,235041524,inbound_13,d09,sao_paulo,above_ground_closed,-23.563284,-46.636683,,urban,shoe_soles,rubber,
None,None,4959-DB-1268,235041746,inbound_13,d10,sao_paulo,above_ground_closed,-23.563374,-46.636737,,urban,shoe_soles,rubber,
None,None,4959-DB-1269,235041168,inbound_13,d11,sao_paulo,above_ground_closed,-23.563359,-46.636729,,urban,shoe_soles,rubber,
None,None,4959-DB-1270,235038800,inbound_13,d12,sao_paulo,above_ground_open,-23.561597,-46.656655,,urban,bench,wood,closing_hours
None,None,4959-DB-1271,235041118,inbound_13,e01,sao_paulo,above_ground_closed,-23.564961,-46.637665,,urban,tray,metal,
None,None,4959-DB-1272,235041663,inbound_13,e02,sao_paulo,above_ground_closed,-23.56499,-46.637638,,urban,glucometer,metal_plastic,
None,None,4959-DB-1273,235060069,inbound_13,e03,sao_paulo,above_ground_closed,-23.564912,-46.637724,,urban,table,other,
None,None,4959-DB-1274,235041701,inbound_13,e04,sao_paulo,above_ground_closed,-23.564872,-46.637638,,urban,infusion_pump,plastic,
None,None,4959-DB-1275,235060048,inbound_13,e05,sao_paulo,above_ground_closed,-23.564912,-46.637638,,urban,bench,other,
None,None,4959-DB-1276,235042114,inbound_13,e06,sao_paulo,under_ground,-23.565128,-46.637607,,urban,seat,other,
None,None,4959-DB-1277,235038322,inbound_13,e07,sao_paulo,under_ground,-23.565364,-46.637306,,urban,table,metal,
None,None,4959-DB-1278,235040481,inbound_13,e08,sao_paulo,above_ground_closed,-23.563416,-46.636736,,urban,shoe_soles,rubber,
None,None,4959-DB-1279,235041243,inbound_13,e09,sao_paulo,above_ground_closed,-23.563263,-46.636709,,urban,shoe_soles,rubber,
None,None,4959-DB-1280,235041653,inbound_13,e10,sao_paulo,above_ground_closed,-23.563343,-46.636743,,urban,shoe_soles,rubber,
None,None,4959-DB-1281,235062816,inbound_13,e11,sao_paulo,above_ground_closed,-23.563267,-46.636644,,urban,shoe_soles,rubber,
None,None,4959-DB-1282,235060263,inbound_13,e12,sao_paulo,above_ground_open,-23.561686,-46.656864,,urban,bench,wood,closing_hours
None,None,4959-DB-1283,235042037,inbound_13,f01,sao_paulo,above_ground_closed,-23.564961,-46.637665,,urban,bench,other,
None,None,4959-DB-1284,235041695,inbound_13,f02,sao_paulo,above_ground_closed,-23.564951,-46.637638,,urban,telephone,plastic,
None,None,4959-DB-1285,235060236,inbound_13,f03,sao_paulo,above_ground_closed,-23.564951,-46.637638,,urban,cellphone,other,
None,None,4959-DB-1286,235060180,inbound_13,f04,sao_paulo,above_ground_closed,-23.564912,-46.637638,,urban,table,other,
None,None,4959-DB-1287,235038325,inbound_13,f05,sao_paulo,above_ground_closed,-23.56499,-46.637638,,urban,other,metal_plastic,
None,None,4959-DB-1288,235039184,inbound_13,f06,sao_paulo,under_ground,-23.565167,-46.637607,,urban,other,metal_plastic,
None,None,4959-DB-1289,235060037,inbound_13,f07,sao_paulo,under_ground,-23.56501,-46.637521,,urban,other,,
None,None,4959-DB-1290,235041339,inbound_13,f08,sao_paulo,above_ground_closed,-23.563265,-46.6367,,urban,shoe_soles,rubber,
None,None,4959-DB-1291,235041351,inbound_13,f09,sao_paulo,above_ground_closed,-23.563383,-46.636748,,urban,shoe_soles,rubber,
None,None,4959-DB-1292,235040310,inbound_13,f10,sao_paulo,above_ground_closed,-23.563251,-46.636707,,urban,shoe_soles,rubber,
None,None,4959-DB-1293,235041077,inbound_13,f11,sao_paulo,above_ground_closed,-23.56327,-46.636735,,urban,shoe_soles,rubber,
None,None,4959-DB-1294,235039203,inbound_13,f12,sao_paulo,above_ground_open,-23.572401,-46.658661,,urban,shoe_soles,rubber,after_a_day_long_at_school
None,None,4959-DB-1295,235038842,inbound_13,g01,sao_paulo,above_ground_closed,-23.564961,-46.637665,,urban,table,other,
None,None,4959-DB-1296,235060192,inbound_13,g02,sao_paulo,above_ground_closed,-23.564951,-46.637681,,urban,bench,granite,
None,None,4959-DB-1297,235041196,inbound_13,g03,sao_paulo,above_ground_closed,-23.564951,-46.637681,,urban,keyboard,plastic,
None,None,4959-DB-1298,235041093,inbound_13,g04,sao_paulo,above_ground_closed,-23.564912,-46.637681,,urban,curtain,plastic,
None,None,4959-DB-1299,235038846,inbound_13,g05,sao_paulo,above_ground_closed,-23.564833,-46.637724,,urban,tray,metal,
None,None,4959-DB-1300,235038359,inbound_13,g06,sao_paulo,under_ground,-23.565325,-46.637263,,urban,other,metal_plastic,
None,None,4959-DB-1301,235060076,inbound_13,g07,sao_paulo,above_ground_closed,-23.565128,-46.637607,,urban,other,metal,
None,None,4959-DB-1302,235041249,inbound_13,g08,sao_paulo,above_ground_closed,-23.563433,-46.636747,,urban,shoe_soles,rubber,
None,None,4959-DB-1303,235041677,inbound_13,g09,sao_paulo,above_ground_closed,-23.563423,-46.636711,,urban,shoe_soles,rubber,
None,None,4959-DB-1304,235040495,inbound_13,g10,sao_paulo,above_ground_closed,-23.563331,-46.636662,,urban,shoe_soles,rubber,
None,None,4959-DB-1305,235041676,inbound_13,g11,sao_paulo,above_ground_closed,-23.563442,-46.636713,,urban,shoe_soles,rubber,
None,None,4959-DB-1306,235060041,inbound_13,g12,sao_paulo,above_ground_closed,-23.57237,-46.658672,,urban,shoe_soles,rubber,
None,None,4959-DB-1307,235042110,inbound_13,h01,sao_paulo,above_ground_closed,-23.564961,-46.637665,,urban,infusion_pump,plastic,
None,None,4959-DB-1308,235038852,inbound_13,h02,sao_paulo,above_ground_closed,-23.564951,-46.637638,,urban,tray,metal,
None,None,4959-DB-1309,235060214,inbound_13,h03,sao_paulo,above_ground_closed,-23.564872,-46.637681,,urban,glucometer,metal_plastic,
None,None,4959-DB-1310,235060028,inbound_13,h04,sao_paulo,above_ground_closed,-23.56499,-46.637638,,urban,other,other,
None,None,4959-DB-1311,235038797,inbound_13,h05,sao_paulo,above_ground_closed,-23.564951,-46.637509,,urban,other,plastic,
None,None,4959-DB-1312,235060044,inbound_13,h06,sao_paulo,under_ground,-23.565443,-46.637607,,urban,keyboard,plastic,
None,None,4959-DB-1313,235039206,inbound_13,h07,sao_paulo,above_ground_closed,-23.565403,-46.637435,,urban,other,metal,
None,None,4959-DB-1314,235041113,inbound_13,h08,sao_paulo,above_ground_closed,-23.563452,-46.636756,,urban,shoe_soles,rubber,
None,None,4959-DB-1315,235041543,inbound_13,h09,sao_paulo,above_ground_closed,-23.56324,-46.636645,,urban,shoe_soles,rubber,
None,None,4959-DB-1316,235041382,inbound_13,h10,sao_paulo,above_ground_closed,-23.563344,-46.636753,,urban,shoe_soles,rubber,
None,None,4959-DB-1317,235041553,inbound_13,h11,sao_paulo,above_ground_closed,-23.563287,-46.636703,,urban,shoe_soles,rubber,
None,None,4959-DB-1318,235060051,inbound_13,h12,sao_paulo,above_ground_open,-23.576476,-46.65562,,urban,bike_handle,plastic,
None,None,5106-CEM-0001,None,zymo plate 1,a01,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0002,None,zymo plate 1,a02,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0003,None,zymo plate 1,a03,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0004,None,zymo plate 1,a04,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0005,None,zymo plate 1,a05,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0006,None,zymo plate 1,a06,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0007,None,zymo plate 1,a07,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0008,None,zymo plate 1,a08,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0009,None,zymo plate 1,a09,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0010,None,zymo plate 1,a10,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0011,None,zymo plate 1,a11,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0012,None,zymo plate 1,a12,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0013,None,zymo plate 1,b01,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0014,None,zymo plate 1,b02,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0015,None,zymo plate 1,b03,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0016,None,zymo plate 1,b04,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0017,None,zymo plate 1,b05,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0018,None,zymo plate 1,b06,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0019,None,zymo plate 1,b07,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0020,None,zymo plate 1,b08,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0021,None,zymo plate 1,b09,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0022,None,zymo plate 1,b10,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0023,None,zymo plate 1,b11,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0024,None,zymo plate 1,b12,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0025,None,zymo plate 1,c01,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0026,None,zymo plate 1,c02,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0027,None,zymo plate 1,c03,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0028,None,zymo plate 1,c04,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0029,None,zymo plate 1,c05,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0030,None,zymo plate 1,c06,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0031,None,zymo plate 1,c07,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0032,None,zymo plate 1,c08,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0033,None,zymo plate 1,c09,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0034,None,zymo plate 1,c10,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0035,None,zymo plate 1,c11,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0036,None,zymo plate 1,c12,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0037,None,zymo plate 1,d01,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0038,None,zymo plate 1,d02,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0039,None,zymo plate 1,d03,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0040,None,zymo plate 1,d04,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0041,None,zymo plate 1,d05,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0042,None,zymo plate 1,d06,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0043,None,zymo plate 1,d07,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0044,None,zymo plate 1,d08,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0045,None,zymo plate 1,d09,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0046,None,zymo plate 1,d10,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0047,None,zymo plate 1,d11,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0048,None,zymo plate 1,d12,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0049,None,zymo plate 1,e01,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0050,None,zymo plate 1,e02,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0051,None,zymo plate 1,e03,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0052,None,zymo plate 1,e04,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0053,None,zymo plate 1,e05,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0054,None,zymo plate 1,e06,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0055,None,zymo plate 1,e07,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0056,None,zymo plate 1,e08,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0057,None,zymo plate 1,e09,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0058,None,zymo plate 1,e10,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0059,None,zymo plate 1,e11,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0060,None,zymo plate 1,e12,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0061,None,zymo plate 1,f01,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0062,None,zymo plate 1,f02,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0063,None,zymo plate 1,f03,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0064,None,zymo plate 1,f04,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0065,None,zymo plate 1,f05,nyc,,,,winter-sampling,,,,
None,None,5106-CEM-0066,None,zymo plate 1,f06,nyc,,,,winter-sampling,,,,
